Round Number,Date,Location,Home Team,Away Team,Group,Result
Week 3,28/04/2016 20:00,Mumbai,Mumbai Indians,Kolkata Knight Riders,,
Week 3,29/04/2016 20:00,Pune,Rising Pune Supergiants,Gujarat Lions,,
Week 3,30/04/2016 16:00,Delhi,Delhi Daredevils,Kolkata Knight Riders,,
Week 3,30/04/2016 20:00,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,,
Week 4,01/05/2016 16:00,Rajkot,Gujarat Lions,Kings XI Punjab,,
Week 4,01/05/2016 20:00,Pune,Rising Pune Supergiants,Mumbai Indians,,
Week 4,02/05/2016 20:00,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,,
Week 4,03/05/2016 20:00,Rajkot,Gujarat Lions,Delhi Daredevils,,
Week 4,04/05/2016 20:00,Kolkata,Kolkata Knight Riders,Kings XI Punjab,,
Week 4,05/05/2016 20:00,Delhi,Delhi Daredevils,Rising Pune Supergiants,,
Week 4,06/05/2016 20:00,Hyderabad,Sunrisers Hyderabad,Gujarat Lions,,
Week 4,07/05/2016 16:00,Bengaluru,Royal Challengers Bangalore,Rising Pune Supergiants,,
Week 4,07/05/2016 20:00,Nagpur,Kings XI Punjab,Delhi Daredevils,,
Week 5,08/05/2016 16:00,Mumbai,Mumbai Indians,Sunrisers Hyderabad,,
Week 5,08/05/2016 20:00,Kolkata,Kolkata Knight Riders,Gujarat Lions,,
Week 5,09/05/2016 20:00,Nagpur,Kings XI Punjab,Royal Challengers Bangalore,,
Week 5,10/05/2016 20:00,Pune,Rising Pune Supergiants,Sunrisers Hyderabad,,
Week 5,11/05/2016 20:00,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,,
Week 5,12/05/2016 20:00,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,,
Week 5,13/05/2016 20:00,Mumbai,Mumbai Indians,Kings XI Punjab,,
Week 5,14/05/2016 16:00,Bengaluru,Royal Challengers Bangalore,Gujarat Lions,,
Week 5,14/05/2016 20:00,Kolkata,Kolkata Knight Riders,Rising Pune Supergiants,,
Week 6,15/05/2016 16:00,Mumbai,Mumbai Indians,Delhi Daredevils,,
Week 6,15/05/2016 20:00,Nagpur,Kings XI Punjab,Sunrisers Hyderabad,,
Week 6,16/05/2016 20:00,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,,
Week 6,17/05/2016 20:00,Pune,Rising Pune Supergiants,Delhi Daredevils,,
Week 6,18/05/2016 20:00,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab,,
Week 6,19/05/2016 20:00,Rajkot/Kanpur,Gujarat Lions,Kolkata Knight Riders,,
Week 6,20/05/2016 20:00,Raipur,Delhi Daredevils,Sunrisers Hyderabad,,
Week 6,21/05/2016 16:00,Pune,Rising Pune Supergiants,Kings XI Punjab,,
Week 6,21/05/2016 20:00,Rajkot/Kanpur,Gujarat Lions,Mumbai Indians,,
Week 6,22/05/2016 16:00,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,,
Week 6,22/05/2016 20:00,Raipur,Delhi Daredevils,Royal Challengers Bangalore,,
Preliminary Finals,24/05/2016 20:00,Bengaluru,Gujarat Lions,Royal Challengers Bangalore,Qualifier 1,
Preliminary Finals,25/05/2016 20:00,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Eliminator,
Qualifier 2,27/05/2016 20:00,Delhi,Gujarat Lions,Sunrisers Hyderabad,,
Final,29/05/2016 20:00,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,,
